treatmentId	Name_MSW3	Name_HMW	Name_BatNames	Name_MDD	Name_IUCN	Name_BatNames_2023
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L10.tsv	Alionycteris paucidentata	Alionycteris paucidentata	Alionycteris paucidentata	Alionycteris paucidentata	Alionycteris paucidentata	Alionycteris paucidentata
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L100.tsv	Chaerephon aloysiisabaudiae	Chaerephon aloysiisabaudiae	Mops aloysiisabaudiae	Mops aloysiisabaudiae	Chaerephon aloysiisabaudiae	Mops aloysiisabaudiae
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1000.tsv		Ozimops kitcheneri	Ozimops kitcheneri	Ozimops kitcheneri	Ozimops kitcheneri	Ozimops kitcheneri
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1001.tsv	Mormopterus loriae	Ozimops loriae	Ozimops loriae	Ozimops loriae	Ozimops loriae	Ozimops loriae
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1002.tsv		Ozimops lumsdenae	Ozimops lumsdenae	Ozimops lumsdenae	Ozimops lumsdenae	Ozimops lumsdenae
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1003.tsv		Ozimops petersi	Ozimops petersi	Ozimops petersi	Ozimops petersi	Ozimops petersi
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1004.tsv	Mormopterus planiceps	Ozimops planiceps	Ozimops planiceps	Ozimops planiceps	Ozimops planiceps	Ozimops planiceps
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1005.tsv		Ozimops ridei	Ozimops ridei	Ozimops ridei	Ozimops ridei	Ozimops ridei
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1006.tsv	Paranyctimene raptor	Paranyctimene raptor	Paranyctimene raptor	Paranyctimene raptor	Paranyctimene raptor	Paranyctimene raptor
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1007.tsv	Paranyctimene tenax	Paranyctimene tenax	Paranyctimene tenax	Paranyctimene tenax	Paranyctimene tenax	Paranyctimene tenax
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1008.tsv	Pipistrellus hesperus	Parastrellus hesperus	Parastrellus hesperus	Parastrellus hesperus	Parastrellus hesperus	Parastrellus hesperus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1009.tsv	Triaenops auritus	Paratriaenops auritus	Paratriaenops auritus	Paratriaenops auritus	Paratriaenops auritus	Paratriaenops auritus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L101.tsv	Chaerephon ansorgei	Chaerephon ansorgei	Mops ansorgei	Mops ansorgei	Chaerephon ansorgei	Mops ansorgei
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1010.tsv	Triaenops furculus	Paratriaenops furcula	Paratriaenops furcula	Paratriaenops furcula	Paratriaenops furculus	Paratriaenops furcula
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1011.tsv		Paratriaenops pauliani	Paratriaenops pauliani	Paratriaenops pauliani	Paratriaenops pauliani	Paratriaenops pauliani
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1012.tsv	Emballonura atrata	Paremballonura atrata	Paremballonura atrata	Paremballonura atrata	Paremballonura atrata	Paremballonura atrata
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1013.tsv		Paremballonura tiavato	Paremballonura tiavato	Paremballonura tiavato	Paremballonura tiavato	Paremballonura tiavato
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1014.tsv	Penthetor lucasi	Penthetor lucasii	Penthetor lucasii	Penthetor lucasii	Penthetor lucasi	Penthetor lucasii
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1015.tsv	Pipistrellus subflavus	Perimyotis subflavus	Perimyotis subflavus	Perimyotis subflavus	Perimyotis subflavus	Perimyotis subflavus
https://linker.bio/line:hash://sha256/981b8f9ece76eb4418fe82e8dfa077165943fe1d63103fa4a25f21a2d7881e75!/L1,L1016.tsv	Peropteryx kappleri	Peropteryx kappleri	Peropteryx kappleri	Peropteryx kappleri	Peropteryx kappleri	Peropteryx kappleri
